InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV1000001,2024-12-07 05:50:05,STR041,PRD0039,Clothing,7,4287.51,0,1742.57,Returning,Cash
INV1000002,2024-07-24 08:16:05,STR024,PRD0113,Shoes,1,7894.31,0,1180.1,New,Card
INV1000003,2025-06-04 19:56:05,STR005,PRD0098,Shoes,4,4635.48,10,939.86,Returning,Card
INV1000004,2025-01-02 04:21:05,STR014,PRD0070,Accessories,4,7626.07,10,654.94,Returning,Card
INV1000005,2025-07-14 20:40:05,STR016,PRD0029,Clothing,1,788.12,5,1382.58,Returning,Cash
INV1000006,2025-10-06 00:53:05,STR005,PRD0005,Clothing,4,4368.36,0,1241.93,Returning,Digital
INV1000007,2024-02-24 19:22:05,STR037,PRD0061,Accessories,2,2657.07,5,1958.69,Returning,Digital
INV1000008,2024-03-10 20:52:05,STR042,PRD0083,Shoes,1,1508.61,0,1163.55,Returning,Card
INV1000009,2025-06-05 18:43:05,STR016,PRD0112,Shoes,5,7447.51,20,586.78,Returning,Digital
INV1000010,2024-06-26 07:05:05,STR006,PRD0097,Shoes,1,6910.61,5,1726.66,New,Cash
INV1000011,2025-11-03 05:30:05,STR025,PRD0034,Clothing,5,4669.33,0,2171.2,New,Cash
INV1000012,2024-01-11 03:10:05,STR004,PRD0075,Accessories,3,7436.65,0,1109.07,New,Card
INV1000013,2024-03-22 08:16:05,STR012,PRD0009,Clothing,1,3177.66,0,964.84,Returning,Cash
INV1000014,2025-10-06 05:00:05,STR043,PRD0075,Accessories,3,5782.7,0,1246.52,Returning,Card
INV1000015,2025-03-04 03:16:05,STR020,PRD0059,Accessories,1,3366.92,0,451.82,New,Cash
INV1000016,2024-12-02 21:50:05,STR017,PRD0017,Clothing,6,4699.67,20,597.88,Returning,Card
INV1000017,2024-03-09 05:15:05,STR043,PRD0014,Clothing,2,4725.19,0,407.9,New,Cash
INV1000018,2024-08-04 08:38:05,STR022,PRD0027,Clothing,1,3593.74,5,315.21,Returning,Digital
INV1000019,2024-05-04 05:08:05,STR003,PRD0001,Clothing,7,2001.0,25,1120.74,Returning,Cash
INV1000020,2024-12-03 03:15:05,STR005,PRD0114,Shoes,3,5775.34,0,377.75,New,Card
INV1000021,2025-06-16 08:35:05,STR003,PRD0046,Accessories,2,2337.74,0,487.97,Returning,Digital
INV1000022,2025-01-15 17:51:05,STR016,PRD0111,Shoes,4,1970.01,0,1975.74,Returning,Card
INV1000023,2025-11-07 19:04:05,STR043,PRD0111,Shoes,3,6092.41,0,1586.42,New,Digital
INV1000024,2025-09-25 21:05:05,STR023,PRD0040,Clothing,1,4192.41,0,1374.75,New,Cash
INV1000025,2024-10-24 17:47:05,STR023,PRD0083,Shoes,2,4467.72,15,1297.65,Returning,Digital
INV1000026,2025-04-26 19:04:05,STR039,PRD0056,Accessories,3,3653.16,5,1401.4,New,Digital
INV1000027,2025-10-06 21:03:05,STR001,PRD0067,Accessories,4,9278.08,10,543.42,Returning,Digital
INV1000028,2025-04-22 22:22:05,STR040,PRD0041,Accessories,4,6734.86,20,1222.67,Returning,Card
INV1000029,2024-05-17 03:16:05,STR036,PRD0017,Clothing,2,1363.28,0,553.07,Returning,Digital
INV1000030,2024-10-15 01:08:05,STR020,PRD0037,Clothing,4,1445.82,10,1867.43,Returning,Digital
INV1000031,2025-08-15 22:45:05,STR048,PRD0022,Clothing,5,3464.83,10,1303.1,Returning,Cash
INV1000032,2024-02-03 01:06:05,STR013,PRD0019,Clothing,5,609.91,5,1470.75,Returning,Card
INV1000033,2024-03-09 06:07:05,STR026,PRD0032,Clothing,3,1164.07,20,1598.05,Returning,Card
INV1000034,2024-04-05 06:09:05,STR030,PRD0007,Clothing,3,3008.33,0,2094.91,Returning,Card
INV1000035,2025-04-20 00:33:05,STR021,PRD0097,Shoes,5,7218.27,10,2082.42,Returning,Digital
INV1000036,2025-05-07 01:20:05,STR031,PRD0058,Accessories,2,2814.16,10,1335.17,New,Cash
INV1000037,2024-04-09 19:54:05,STR019,PRD0031,Clothing,2,1722.72,5,1515.74,Returning,Digital
INV1000038,2024-06-19 07:06:05,STR005,PRD0054,Accessories,2,4253.71,5,1911.68,Returning,Card
INV1000039,2023-11-26 22:59:05,STR045,PRD0003,Clothing,5,4355.29,0,688.69,New,Card
INV1000040,2025-03-13 07:48:05,STR022,PRD0086,Shoes,3,5689.82,0,496.93,Returning,Digital
INV1000041,2025-03-06 19:43:05,STR038,PRD0073,Accessories,2,6731.1,5,1471.35,Returning,Cash
INV1000042,2025-01-24 22:33:05,STR021,PRD0044,Accessories,3,7683.93,15,618.42,New,Card
INV1000043,2023-12-21 20:52:05,STR023,PRD0029,Clothing,2,3425.65,10,1902.63,New,Card
INV1000044,2025-08-03 05:25:05,STR014,PRD0060,Accessories,1,7084.81,0,908.61,Returning,Cash
INV1000045,2024-06-10 19:17:05,STR002,PRD0040,Clothing,3,3091.09,0,1392.33,Returning,Cash
INV1000046,2025-06-22 05:42:05,STR045,PRD0099,Shoes,6,2971.4,15,2088.41,Returning,Card
INV1000047,2024-11-25 04:37:05,STR022,PRD0002,Clothing,4,4323.09,0,166.54,New,Card
INV1000048,2025-03-11 00:32:05,STR042,PRD0035,Clothing,2,3271.61,15,956.72,Returning,Card
INV1000049,2025-08-06 04:04:05,STR006,PRD0036,Clothing,2,4467.34,5,1031.17,New,Digital
INV1000050,2025-07-23 05:36:05,STR012,PRD0063,Accessories,2,2357.56,0,1296.18,Returning,Card
INV1000051,2025-03-22 04:25:05,STR016,PRD0093,Shoes,3,3726.28,0,1640.37,Returning,Cash
INV1000052,2025-03-19 02:13:05,STR015,PRD0052,Accessories,1,7010.34,5,459.45,Returning,Digital
INV1000053,2024-06-04 22:47:05,STR045,PRD0059,Accessories,3,2927.89,0,369.65,Returning,Digital
INV1000054,2025-05-11 02:58:05,STR014,PRD0095,Shoes,3,4286.23,25,240.53,New,Card
INV1000055,2024-01-15 01:58:05,STR020,PRD0002,Clothing,3,3686.08,0,125.49,Returning,Digital
INV1000056,2024-11-02 19:43:05,STR007,PRD0112,Shoes,4,888.31,5,548.64,Returning,Cash
INV1000057,2024-09-26 18:55:05,STR041,PRD0088,Shoes,1,1185.99,5,918.22,Returning,Card
INV1000058,2025-02-15 22:35:05,STR039,PRD0102,Shoes,5,5252.61,0,1631.41,Returning,Cash
INV1000059,2025-09-26 18:50:05,STR048,PRD0013,Clothing,1,4764.16,0,132.84,New,Cash
INV1000060,2024-07-14 22:25:05,STR001,PRD0053,Accessories,4,4669.89,0,630.04,Returning,Cash
